iter	Passed	Remaining
235	840	2722
236	844	2718
237	847	2714
238	851	2710
239	854	2705
240	857	2701
241	861	2697
242	864	2694
243	868	2689
244	871	2685
245	875	2682
246	878	2679
247	882	2675
248	885	2670
249	888	2666
250	892	2662
251	896	2659
252	899	2655
253	902	2651
254	906	2647
255	910	2645
256	913	2641
257	917	2637
258	920	2633
259	923	2628
260	927	2625
261	930	2622
262	934	2618
263	937	2614
264	941	2610
265	944	2607
266	948	2603
267	952	2600
268	955	2596
269	958	2592
270	962	2589
271	965	2585
272	969	2581
273	972	2576
274	976	2573
275	979	2569
276	983	2565
277	986	2562
278	989	2557
279	993	2554
280	997	2551
281	1000	2547
282	1004	2543
283	1007	2540
284	1011	2537
285	1015	2534
286	1018	2531
287	1022	2527
288	1026	2524
289	1030	2522
290	1033	2518
291	1036	2513
292	1040	2510
293	1044	2507
294	1047	2504
295	1051	2500
296	1054	2496
297	1058	2492
298	1061	2489
299	1065	2485
300	1068	2481
301	1071	2477
302	1075	2474
303	1078	2470
304	1082	2466
305	1085	2462
306	1089	2459
307	1092	2455
308	1096	2451
309	1099	2447
310	1102	2443
311	1106	2440
312	1110	2436
313	1113	2432
314	1116	2428
315	1120	2425
316	1124	2423
317	1128	2419
318	1131	2415
319	1134	2411
320	1138	2408
321	1141	2404
322	1145	2400
323	1148	2397
324	1152	2393
325	1156	2390
326	1159	2385
327	1162	2382
328	1166	2378
329	1169	2374
330	1173	2371
331	1176	2367
332	1179	2363
333	1183	2359
334	1186	2355
335	1190	2352
336	1193	2348
337	1197	2345
338	1200	2341
339	1204	2338
340	1207	2334
341	1211	2330
342	1214	2326
343	1217	2322
344	1221	2319
345	1225	2315
346	1228	2311
347	1231	2308
348	1235	2304
349	1239	2301
350	1242	2297
351	1246	2293
352	1249	2290
353	1253	2287
354	1256	2283
355	1260	2279
356	1263	2276
357	1267	2272
358	1271	2269
359	1274	2265
360	1277	2262
361	1281	2258
362	1284	2254
363	1288	2250
364	1291	2247
365	1295	2243
366	1298	2239
367	1301	2235
368	1305	2232
369	1308	2228
370	1311	2224
371	1315	2220
372	1319	2218
373	1322	2214
374	1326	2210
375	1329	2206
376	1332	2202
377	1336	2199
378	1340	2195
379	1343	2191
380	1347	2188
381	1350	2185
382	1354	2181
383	1357	2177
384	1361	2174
385	1364	2170
386	1367	2166
387	1371	2162
388	1374	2158
389	1377	2155
390	1381	2151
391	1385	2148
392	1388	2144
393	1391	2140
394	1395	2137
395	1399	2133
396	1402	2130
397	1405	2126
398	1409	2122
399	1412	2119
400	1416	2115
401	1419	2111
402	1423	2108
403	1426	2104
404	1429	2100
405	1433	2097
406	1436	2093
407	1440	2089
408	1443	2085
409	1446	2081
410	1450	2078
411	1453	2074
412	1457	2071
413	1460	2067
414	1464	2064
415	1467	2060
416	1471	2056
417	1474	2052
418	1477	2049
419	1481	2045
420	1484	2041
421	1487	2037
422	1491	2034
423	1494	2030
424	1498	2026
425	1501	2023
426	1504	2019
427	1508	2015
428	1511	2011
429	1515	2008
430	1518	2005
431	1522	2001
432	1525	1997
433	1529	1994
434	1532	1991
435	1536	1987
436	1539	1983
437	1542	1979
438	1546	1976
439	1550	1973
440	1553	1969
441	1557	1965
442	1560	1962
443	1564	1958
444	1567	1955
445	1571	1951
446	1574	1948
447	1578	1945
448	1582	1941
449	1585	1937
450	1588	1934
451	1592	1930
452	1596	1927
453	1599	1923
454	1602	1919
455	1605	1915
456	1609	1911
457	1612	1908
458	1616	1904
459	1619	1901
460	1623	1897
461	1626	1894
462	1630	1891
463	1634	1887
464	1637	1884
465	1641	1880
466	1645	1877
467	1648	1874
468	1652	1870
469	1655	1867
470	1659	1863
471	1662	1860
472	1666	1856
473	1669	1852
474	1673	1849
475	1676	1845
476	1680	1842
477	1683	1838
478	1686	1834
479	1690	1831
480	1693	1827
481	1697	1823
482	1700	1820
483	1703	1816
484	1707	1812
485	1710	1809
486	1714	1805
487	1717	1802
488	1720	1798
489	1724	1794
490	1727	1791
491	1731	1787
492	1734	1783
493	1738	1780
494	1742	1777
495	1745	1773
496	1748	1769
497	1751	1765
498	1755	1762
499	1758	1758
500	1762	1755
501	1766	1751
502	1769	1748
503	1772	1744
504	1776	1741
505	1779	1737
506	1783	1733
507	1786	1730
508	1790	1727
509	1793	1723
510	1796	1719
511	1800	1715
512	1803	1712
513	1807	1708
514	1810	1705
515	1814	1701
516	1817	1698
517	1821	1694
518	1824	1691
519	1828	1687
520	1831	1683
521	1834	1680
522	1838	1676
523	1841	1672
524	1845	1669
525	1848	1665
526	1851	1662
527	1855	1658
528	1858	1655
529	1862	1651
530	1865	1647
531	1868	1643
532	1872	1640
533	1875	1637
534	1879	1633
535	1882	1629
536	1886	1626
537	1890	1623
538	1893	1619
539	1897	1615
540	1900	1612
541	1904	1608
542	1907	1605
543	1910	1601
544	1914	1598
545	1917	1594
546	1921	1591
547	1924	1587
548	1928	1583
549	1931	1580
550	1934	1576
551	1938	1573
552	1942	1569
553	1945	1566
554	1948	1562
555	1952	1559
556	1956	1555
557	1959	1552
558	1962	1548
559	1966	1544
560	1969	1541
561	1973	1537
562	1976	1534
563	1980	1530
564	1983	1527
565	1987	1524
566	1991	1520
567	1994	1516
568	1997	1513
569	2001	1509
570	2004	1506
571	2008	1502
572	2011	1499
573	2015	1495
574	2019	1492
575	2022	1488
576	2025	1485
577	2029	1481
578	2032	1477
579	2036	1474
580	2039	1470
581	2042	1467
582	2046	1464
583	2050	1460
584	2054	1457
585	2057	1453
586	2060	1449
587	2063	1446
588	2067	1442
589	2070	1439
590	2074	1435
591	2078	1432
592	2081	1428
593	2085	1425
594	2088	1421
595	2092	1418
596	2095	1414
597	2099	1411
598	2102	1407
599	2105	1403
600	2109	1400
601	2112	1396
602	2116	1393
603	2119	1389
604	2123	1386
605	2126	1382
606	2129	1378
607	2133	1375
608	2137	1372
609	2140	1368
610	2144	1365
611	2147	1361
612	2151	1358
613	2154	1354
614	2158	1350
615	2161	1347
616	2165	1343
617	2168	1340
618	2171	1336
619	2175	1333
620	2178	1329
621	2182	1326
622	2186	1322
623	2189	1319
624	2192	1315
625	2196	1312
626	2200	1308
627	2203	1305
628	2206	1301
629	2210	1298
630	2214	1294
631	2217	1291
632	2220	1287
633	2224	1284
634	2227	1280
635	2231	1277
636	2234	1273
637	2238	1270
638	2241	1266
639	2245	1263
640	2248	1259
641	2252	1255
642	2255	1252
643	2259	1248
644	2262	1245
645	2266	1241
646	2269	1238
647	2273	1234
648	2276	1231
649	2280	1227
650	2283	1224
651	2287	1220
652	2290	1217
653	2294	1213
654	2297	1210
655	2301	1206
656	2304	1203
657	2308	1199
658	2311	1196
659	2315	1192
660	2318	1189
661	2322	1185
662	2325	1182
663	2329	1178
664	2332	1175
665	2336	1171
666	2339	1168
667	2343	1164
668	2346	1161
669	2350	1157
670	2353	1153
671	2356	1150
672	2360	1146
673	2364	1143
674	2367	1139
675	2370	1136
676	2374	1132
677	2377	1129
678	2381	1125
679	2384	1122
680	2387	1118
681	2391	1114
682	2395	1111
683	2398	1108
684	2402	1104
685	2405	1101
686	2409	1097
687	2412	1094
688	2415	1090
689	2419	1086
690	2422	1083
691	2426	1079
692	2429	1076
693	2432	1072
694	2436	1069
695	2439	1065
696	2443	1062
697	2446	1058
698	2450	1055
699	2453	1051
700	2457	1048
701	2460	1044
702	2464	1041
703	2467	1037
704	2470	1033
705	2474	1030
706	2477	1026
707	2481	1023
708	2484	1019
709	2487	1016
710	2491	1012
711	2495	1009
712	2498	1005
713	2502	1002
714	2505	998
715	2509	995
716	2512	991
717	2516	988
718	2519	984
719	2523	981
720	2526	977
721	2530	974
722	2533	970
723	2537	967
724	2540	963
725	2544	960
726	2547	956
727	2551	953
728	2554	949
729	2558	946
730	2561	942
731	2565	939
732	2568	935
733	2572	932
734	2576	928
735	2579	925
736	2582	921
737	2585	918
738	2589	914
739	2593	911
740	2596	907
741	2599	904
742	2603	900
743	2607	897
744	2611	893
745	2614	890
746	2617	886
747	2621	883
748	2625	879
749	2628	876
750	2631	872
751	2635	869
752	2639	865
753	2642	862
754	2645	858
755	2649	855
756	2652	851
757	2656	848
758	2659	844
759	2662	840
760	2666	837
761	2669	833
762	2673	830
763	2676	826
764	2680	823
765	2683	819
766	2687	816
767	2691	812
768	2694	809
769	2697	805
770	2701	802
771	2705	798
772	2708	795
773	2711	791
774	2715	788
775	2718	784
776	2722	781
777	2725	777
778	2729	774
779	2732	770
780	2736	767
781	2739	763
782	2742	760
783	2746	756
784	2749	753
785	2753	749
786	2756	746
787	2760	742
788	2763	739
789	2767	735
790	2770	732
791	2774	728
792	2777	725
793	2781	721
794	2785	718
795	2788	714
796	2791	711
797	2794	707
798	2798	703
799	2801	700
800	2805	696
801	2809	693
802	2812	689
803	2815	686
804	2819	682
805	2822	679
806	2826	675
807	2829	672
808	2833	668
809	2836	665
810	2840	661
811	2843	658
812	2846	654
813	2850	651
814	2854	647
815	2857	644
816	2860	640
817	2864	637
818	2867	633
819	2870	630
820	2874	626
821	2877	623
822	2881	619
823	2884	616
824	2888	612
825	2891	609
826	2895	605
827	2898	602
828	2902	598
829	2905	595
830	2909	591
831	2912	588
832	2916	584
833	2919	581
834	2923	577
835	2926	574
836	2930	570
837	2933	567
838	2937	563
839	2940	560
840	2943	556
841	2947	553
842	2950	549
843	2954	546
844	2957	542
845	2961	539
846	2965	535
847	2968	532
848	2971	528
849	2975	525
850	2979	521
851	2982	518
852	2985	514
853	2989	511
854	2992	507
855	2996	504
856	2999	500
857	3003	497
858	3006	493
859	3010	490
860	3014	486
861	3017	483
862	3021	479
863	3024	476
864	3028	472
865	3031	469
866	3034	465
867	3038	462
868	3041	458
869	3045	455
870	3049	451
871	3052	448
872	3056	444
873	3059	441
874	3063	437
875	3067	434
876	3070	430
877	3074	427
878	3077	423
879	3081	420
880	3084	416
881	3088	413
882	3091	409
883	3095	406
884	3098	402
885	3102	399
886	3105	395
887	3109	392
888	3113	388
889	3116	385
890	3119	381
891	3123	378
892	3126	374
893	3130	371
894	3133	367
895	3136	364
896	3140	360
897	3143	357
898	3147	353
899	3150	350
900	3153	346
901	3157	343
902	3161	339
903	3164	336
904	3167	332
905	3171	329
906	3175	325
907	3178	322
908	3181	318
909	3185	315
910	3188	311
911	3192	308
912	3195	304
913	3198	300
914	3202	297
915	3206	294
916	3209	290
917	3213	287
918	3216	283
919	3220	280
920	3223	276
921	3227	273
922	3230	269
923	3234	266
924	3237	262
925	3241	259
926	3244	255
927	3247	251
928	3251	248
929	3254	244
930	3258	241
931	3261	237
932	3265	234
933	3268	230
934	3272	227
935	3275	223
936	3278	220
937	3282	216
938	3285	213
939	3289	209
940	3292	206
941	3295	202
942	3299	199
943	3302	195
944	3306	192
945	3309	188
946	3312	185
947	3316	181
948	3319	178
949	3323	174
950	3327	171
951	3330	167
952	3333	164
953	3337	160
954	3341	157
955	3344	153
956	3347	150
957	3351	146
958	3354	143
959	3358	139
960	3361	136
961	3365	132
962	3368	129
963	3372	125
964	3375	122
965	3379	118
966	3382	115
967	3386	111
968	3389	108
969	3393	104
970	3396	101
971	3400	97
972	3403	94
973	3407	90
974	3410	87
975	3413	83
976	3417	80
977	3421	76
978	3424	73
979	3428	69
980	3431	66
981	3435	62
982	3438	59
983	3442	55
984	3445	52
985	3448	48
986	3452	45
987	3456	41
988	3459	38
989	3463	34
990	3466	31
991	3470	27
992	3473	24
993	3477	20
994	3480	17
995	3484	13
996	3487	10
997	3491	6
998	3494	3
999	3497	0
